Date,Open,High,Low,Close,Volume
02-09-2022 15:30,470.85,471.8,460.15,461.75,10806707
05-09-2022 15:30,459.75,463.95,457,459,9378108
06-09-2022 15:30,462.7,463.7,456.6,457.75,9805875
07-09-2022 15:30,453.2,456.5,443.65,445.85,20764508
08-09-2022 15:30,452.45,452.55,440,442.2,19336014
09-09-2022 15:30,447.5,449.65,440.6,445.9,14294289
12-09-2022 15:30,447.7,453,447,451,8962633
13-09-2022 15:30,454.3,458.95,453.55,456.8,10661280
14-09-2022 15:30,447.6,454.7,447,450.2,10360461
15-09-2022 15:30,452.4,455.85,446.05,447.25,10356713
16-09-2022 15:30,446,446.4,429.1,432.5,20992324
19-09-2022 15:30,431.5,431.6,424.05,425.45,15236142
20-09-2022 15:30,430.6,443.35,430.6,434.25,17557661
21-09-2022 15:30,433.95,436,425.5,427.65,10831068
22-09-2022 15:30,425,434.6,422.55,432.2,13600786
23-09-2022 15:30,431.9,431.9,420.55,423.1,13441609
26-09-2022 15:30,416,417.9,393.15,397.5,33230938
27-09-2022 15:30,403.9,404,390.35,398.8,21932747
28-09-2022 15:30,394.9,406.6,392.85,399.1,18114880
29-09-2022 15:30,411,413.25,399.6,402.25,20725995
30-09-2022 15:30,398,408.25,392.5,404.6,20951277
03-10-2022 15:30,405.5,406.55,395.5,397.65,20332430
04-10-2022 15:30,406,408.95,402.9,407.9,12761425
06-10-2022 15:30,409.6,417.65,409.5,414.1,12771199
07-10-2022 15:30,413.4,414,408.7,412.15,10670854
10-10-2022 15:30,403.4,403.4,393.05,395.95,32914630
11-10-2022 15:30,397,399.5,391.3,393.35,14641301
12-10-2022 15:30,394.55,398.2,391.1,396.55,14287344
13-10-2022 15:30,396.55,403.5,394.55,399,12584114
14-10-2022 15:30,407,409.2,395.3,396.25,12875470
17-10-2022 15:30,394,398.9,392.5,396.1,9543556
18-10-2022 15:30,401,406.7,400.7,404.25,14215544
19-10-2022 15:30,406.2,406.95,397.3,399.05,8648435
20-10-2022 15:30,397,399.9,393.1,398.1,10747183
21-10-2022 15:30,397,402.25,394.7,398.05,10279618
25-10-2022 15:30,404.35,410.5,403.2,404.55,17979661
27-10-2022 15:30,408.55,411.7,404,407.7,14614841
28-10-2022 15:30,408,411.2,406.1,409.9,12488938
31-10-2022 15:30,414.35,416.3,411.6,412.75,9928218
01-11-2022 15:30,414.9,422.4,412.8,421.35,17324893
02-11-2022 15:30,423.05,425.1,420.15,422.15,12433578
03-11-2022 15:30,419.4,423.3,414.5,416.25,10987519
04-11-2022 15:30,418.2,426,416.9,425.35,12277023
07-11-2022 15:30,428.25,437.5,428.25,435,15058076
09-11-2022 15:30,439.2,441.2,432,433.15,14471443
10-11-2022 15:30,420.5,420.55,409.2,412.2,26251660
11-11-2022 15:30,420,425.5,414.7,423.5,19296401
14-11-2022 15:30,424,437.7,423.5,433.7,17996083
15-11-2022 15:30,434.9,438.5,434.1,437.15,10696024
16-11-2022 15:30,436.95,438.2,429.6,431.55,8206169
17-11-2022 15:30,422,427.55,419.6,423.15,15621809
18-11-2022 15:30,424,426.45,421.15,423.8,9851962
21-11-2022 15:30,425.6,427.6,420,421.1,9497812
22-11-2022 15:30,421,426.4,420.5,424.7,6407614
23-11-2022 15:30,426.85,429.3,422.85,424.05,6568241
24-11-2022 15:30,424.5,425.25,420.7,423.4,6768613
25-11-2022 15:30,425,435.15,424,433.2,18764073
28-11-2022 15:30,435,440.35,432.4,433.25,10701208
29-11-2022 15:30,432.5,437.9,429.55,433.15,8630105
30-11-2022 15:30,435,441,433.3,439.4,14727892
01-12-2022 15:30,443,443.6,436.85,438.25,8909310
02-12-2022 15:30,439,441.15,435,435.4,8352658
05-12-2022 15:30,435.5,437.5,427.8,428.75,12857807
06-12-2022 15:30,428.8,431.35,425.35,427.1,8461831
07-12-2022 15:30,428,428,419.1,420.1,12133315
08-12-2022 15:30,421,421.4,415.35,417.2,9539923
09-12-2022 15:30,419.3,420.95,409.55,413.3,9920219
12-12-2022 15:30,412,416.9,408,414.15,8009229
13-12-2022 15:30,419.95,421.5,417.25,418.5,9717894
14-12-2022 15:30,420.55,421.35,417.35,417.9,6314883
15-12-2022 15:30,418.85,422.8,415.7,416.7,7542601
16-12-2022 15:30,417.35,427.8,413.1,421.6,50949198
19-12-2022 15:30,421.9,422.85,415.5,418,9809103
20-12-2022 15:30,418,418,408,410.5,12341042
21-12-2022 15:30,412.6,414.4,401,402.6,11606059
22-12-2022 15:30,404.1,404.7,390.2,394.45,14908929
23-12-2022 15:30,390,390,377,378.35,19902886
26-12-2022 15:30,380.25,390.7,375.2,384.8,16979026
27-12-2022 15:30,390,397.45,388.5,394.15,14372461
28-12-2022 15:30,394,395.9,390.4,391.3,8443917
29-12-2022 15:30,389,390,383.05,385.9,15627403
30-12-2022 15:30,391,392.2,387,387.95,9198673
02-01-2023 15:30,392.5,396,391,394.8,10501357
03-01-2023 15:30,396,398.35,393,393.9,9431220
04-01-2023 15:30,394.8,394.8,385,385.6,16121049
05-01-2023 15:30,387.9,388.75,382.5,386.9,10443908
06-01-2023 15:30,386.1,388.4,381,382,8715469
09-01-2023 15:30,386.35,392.7,385,389.45,14693099
10-01-2023 15:30,400,417.75,400,412.9,54021379
11-01-2023 15:30,415.75,420,413.55,418.2,22224361
12-01-2023 15:30,420.3,420.5,410.05,412.25,12479034
13-01-2023 15:30,413,416.35,408,411.5,10449630
16-01-2023 15:30,413.5,414.9,407.6,413,11462140
17-01-2023 15:30,413,419.45,412.5,415.3,12337969
